Timestamp,What is your Favorite Color?,Which of the following places do you most enjoy?,"What is your height in inches? (Write only the number, ex: 68)","How many hours do you exercise per week? (Put only the hours, if none enter 0, ex: 4)",Would you consider yourself a sweet tooth?,Do you enjoy Chocolate Chip Cookies?,What Industry do you work / plan to work in?,"How many hours do you spend working per week? (put only the number, ex: 2)","How many hours do you spend watching Netflix per week? (put only the number, ex: 2)"
3/1/2021 13:03:56,Black,A Fancy Restaurant,68,5,No,Yes,Tech/ Software,50,0
2/28/2021 12:07:01,Black,A Fancy Restaurant,68,5,Yes,Yes,Tech/ Software,5,0
2/27/2021 17:15:01,Black,The Beach,70,5,Yes,Yes,Engineering ,0,0
2/28/2021 10:20:42,Black,The Beach,63,2,No,Yes,Health,40,8
2/27/2021 17:06:07,Black,The Beach,68,8,No,Yes,Tech/ Software,5,10
2/28/2021 9:36:10,Blue,The Beach,69,2,Yes,No,Tech/ Software,55,0
2/28/2021 8:55:46,Blue,The Beach,72,10,Yes,Yes,Tech/ Software,45,0
2/27/2021 22:24:35,Blue,A Fancy Restaurant,68,7,Yes,Yes,Chemical,25,0
2/27/2021 17:39:21,Blue,A Fancy Restaurant,79,3,Yes,Yes,Business / Marketing / Accounting,20,0
2/27/2021 17:10:19,Blue,The Beach,63,5,No,Yes,Health,4,0
3/1/2021 4:49:25,Blue,The Beach,70,5,Yes,No,VOLUNTEERING,2,0
2/27/2021 17:23:08,Blue,The Beach,65,4,Yes,Yes,Business / Marketing / Accounting,0,0
2/27/2021 23:26:36,Blue,A Tropical Forest,70,1.5,No,Yes,Tech/ Software,55,1
2/28/2021 14:57:04,Blue,The Beach,69,8,No,No,Tech/ Software,50,1
3/4/2021 5:29:06,Blue,A Tropical Forest,73,5,Yes,Yes,Tech/ Software,40,2
3/4/2021 10:44:26,Blue,A Tropical Forest,73,5,Yes,Yes,Tech/ Software,40,2
3/4/2021 16:05:38,Blue,A Tropical Forest,73,5,Yes,Yes,Tech/ Software,40,2
3/4/2021 20:58:37,Blue,A Tropical Forest,73,5,Yes,Yes,Tech/ Software,40,2
2/27/2021 16:53:58,Blue,A Tropical Forest,67,8,Yes,Yes,Health,40,2
2/27/2021 17:30:20,Blue,The Beach,64,3,Yes,Yes,Civil Service,20,2
2/27/2021 23:57:27,Blue,A College Campus,70,0,No,Yes,Business / Marketing / Accounting,2,2
2/27/2021 18:53:39,Blue,The Beach,72,3,Yes,Yes,Tech/ Software,0,2
2/27/2021 22:18:30,Blue,The Beach,70,2,Yes,Yes,Tech/ Software,30,3
2/27/2021 17:39:14,Blue,The Beach,63,3,No,Yes,Civil Service,16,3
3/1/2021 11:27:20,Blue,The Beach,63,2,Yes,No,Business / Marketing / Accounting,50,4
3/15/2021 17:22:02,Blue,The Beach,66,0,Yes,Yes,Health,40,4
2/27/2021 19:31:50,Blue,The Beach,70,2,Yes,Yes,Tech/ Software,20,4
2/28/2021 13:15:10,Blue,The Beach,72,10,Yes,Yes,Military ,30,5
2/27/2021 18:26:26,Blue,A Fancy Restaurant,70,6,Yes,No,Tech/ Software,15,5
2/27/2021 17:49:48,Blue,A Tropical Forest,70,6,No,Yes,Tech/ Software,60,7
3/3/2021 8:13:25,Blue,A Fancy Restaurant,65,7,Yes,Yes,Business / Marketing / Accounting,40,7
2/27/2021 17:04:31,Blue,A College Campus,68,3,Yes,Yes,Teaching ,25,8
2/28/2021 10:27:29,Blue,The Beach,62,0,Yes,Yes,Advertising / Communications,15,8
2/28/2021 16:51:25,Blue,The Beach,66,0,No,No,Health,62,9
2/27/2021 17:35:53,Blue,The Beach,72,3,Yes,No,Tech/ Software,50,10
2/27/2021 17:23:16,Blue,A Fancy Restaurant,72,4,Yes,Yes,Public Policy/ Law,50,10
2/28/2021 9:41:36,Blue,A Fancy Restaurant,63,10,Yes,No,Business / Marketing / Accounting,40,10
2/28/2021 14:12:57,Blue,A Fancy Restaurant,63,10,Yes,No,Business / Marketing / Accounting,40,10
2/28/2021 14:31:45,Blue,A Fancy Restaurant,63,10,Yes,No,Business / Marketing / Accounting,40,10
2/27/2021 20:58:10,Blue,A Tropical Forest,70,4,Yes,Yes,Culinary,34,10
2/27/2021 20:53:13,Blue,The Beach,66.5,6,No,Yes,Public Policy/ Law,9,15
2/27/2021 16:56:58,Blue,The Beach,67,14,No,No,Public Policy/ Law,0,30
2/28/2021 12:17:36,Blue,A Tropical Forest,67,5,No,Yes,Police officer ,38,35
2/28/2021 7:17:47,Blue,The Beach,59,0,Yes,No,N.A.,0,36
2/28/2021 12:01:49,Brown,The Beach,66,8,No,No,Arts,25,0
2/27/2021 17:43:22,Cyan,A Fancy Restaurant,71.5,5,No,Yes,Automotive,50,0
3/3/2021 10:26:51,Gold,A Fancy Restaurant,60.23,5,Yes,Yes,Business / Marketing / Accounting,40,0
2/27/2021 17:03:24,Gold,The Beach,74,4,Yes,Yes,Tech/ Software,20,2
2/27/2021 17:42:55,Green,The Beach,73,8,No,Yes,Tech/ Software,10,0
2/27/2021 17:09:29,Green,A Tropical Forest,69.5,6,No,Yes,Tech/ Software,0,0
3/3/2021 1:39:16,Green,The Beach,75,0,Yes,Yes,Business / Marketing / Accounting,0,0
3/15/2021 22:24:07,Green,A Tropical Forest,65,3,No,No,Business / Marketing / Accounting,10,1
2/27/2021 18:24:49,Green,A Tropical Forest,73,2,Yes,Yes,Tech/ Software,0,1
2/28/2021 9:18:47,Green,A Fancy Restaurant,N.A.,4,Yes,No,Business / Marketing / Accounting,45,2
2/27/2021 17:21:10,Green,A College Campus,74,2,Yes,Yes,Tech/ Software,20,5
2/28/2021 10:54:57,Green,A Fancy Restaurant,58,8,Yes,No,Tech/ Software,40,6
2/28/2021 11:50:38,Green,A College Campus,70,2,No,No,Health,80,7
2/27/2021 17:35:28,Green,A College Campus,69,0,Yes,Yes,Tech/ Software,0,7
3/1/2021 22:28:25,Green,The Beach,63,10,Yes,Yes,Business / Marketing / Accounting,40,10
3/9/2021 1:38:24,Lilac,A College Campus,63,0,Yes,Yes,Tech/ Software,40,1
3/1/2021 7:09:13,Maroon,A College Campus,70.8,0,Yes,Yes,Business / Marketing / Accounting,0,14
2/27/2021 17:44:35,Olive,A Tropical Forest,66,8,Yes,Yes,Business / Marketing / Accounting,48,12
2/28/2021 15:26:09,Orange,A Tropical Forest,72,4,No,Yes,Health,10,0
2/27/2021 18:03:34,Purple,A College Campus,63,11,No,No,Tech/ Software,40,0
2/27/2021 16:58:08,Purple,A Fancy Restaurant,72,4,No,Yes,Tech/ Software,0,0
3/5/2021 20:59:52,Purple,A Tropical Forest,67.2,0,Yes,Yes,Human Computer Interaction ,20,2
3/25/2021 17:20:07,Purple,A Tropical Forest,68,2,No,Yes,Tech/ Software,80,3
2/28/2021 9:21:35,Purple,A Tropical Forest,72,4,Yes,Yes,Tech/ Software,50,3
2/28/2021 4:15:02,Purple,A Tropical Forest,73,0,Yes,Yes,Tech/ Software,35,3
2/27/2021 18:05:50,Purple,A College Campus,74,6,No,Yes,Tech/ Software,25,3
3/1/2021 9:09:08,Purple,A College Campus,71,0,No,Yes,Tech/ Software,63,5
2/27/2021 17:23:50,Purple,A Tropical Forest,70,4,Yes,Yes,Health,0,6
2/27/2021 17:27:13,Purple,The Beach,71,1,No,Yes,Tech/ Software,55,7
2/28/2021 18:17:40,Purple,The Beach,61,0,Yes,Yes,Business / Marketing / Accounting,0,7
2/28/2021 13:33:46,Purple,A College Campus,75,6,Yes,Yes,Tech/ Software,65,8
2/27/2021 18:49:48,Purple,A Fancy Restaurant,67,2,Yes,Yes,Tech/ Software,30,8
2/27/2021 18:02:49,Red,The Beach,71,16,Yes,Yes,Content Creation ,40,0
2/27/2021 17:00:24,Red,The Beach,67,10,No,No,Tech/ Software,12,0
3/13/2021 18:28:13,Red,The Beach,63,0,No,Yes,N.A.,9,0
2/28/2021 15:54:03,Red,A Tropical Forest,70,3,Yes,Yes,Health,20,1
2/28/2021 10:31:41,Red,A Tropical Forest,70,2,Yes,Yes,Tech/ Software,50,2
3/1/2021 21:14:55,Red,The Beach,68,4,No,Yes,Health,22,3
2/28/2021 1:21:44,Red,The Beach,64,0,Yes,No,Business / Marketing / Accounting,60,4
2/27/2021 17:06:02,Red,A Fancy Restaurant,60,2,Yes,Yes,Public Policy/ Law,25,5
3/1/2021 14:17:47,Red,A Fancy Restaurant,70,6,No,Yes,Tech/ Software,12,5
2/27/2021 17:46:11,Red,The Beach,63,5,Yes,Yes,Film,20,7
2/27/2021 16:52:42,Red,The Beach,69,7,Yes,Yes,Tech/ Software,14,7
2/27/2021 21:18:15,Sage,The Beach,64,1,Yes,Yes,Health ,16,2
2/27/2021 18:05:46,Silver,The Beach,67.7,4,Yes,Yes,Tech/ Software,42,1
2/28/2021 12:05:06,Silver,The Beach,60,4,Yes,Yes,Tech/ Software,4,5
2/27/2021 23:51:23,Silver,A Tropical Forest,68,7,,Yes,Engineering ,18,6
2/27/2021 17:23:16,Violet,A Fancy Restaurant,70,6,No,Yes,Health,30,0
2/28/2021 13:55:50,Violet,The Beach,68,5,Yes,Yes,Business / Marketing / Accounting,20,1
2/27/2021 18:52:33,White,A Tropical Forest,71,3,Yes,No,Business / Marketing / Accounting,18,4
2/27/2021 16:56:41,Yellow,A Tropical Forest,53,3,No,Yes,Business / Marketing / Accounting,32,0
3/5/2021 11:37:28,Yellow,The Beach,66,4,Yes,Yes,Civil Service,40,3